A_total_imports,A_dangerous_imports_count,A_has_os_import,A_has_subprocess_import,A_has_socket_import,A_functions_defined,A_functions_called_count,A_dangerous_calls_count,A_unique_functions,A_function_density,A_file_operations_count,A_network_operations_count,A_process_spawning_count,A_code_execution_count,A_has_api_abuse,A_dynamic_types_count,A_type_confusion_risk,A_has_dynamic_operations,A_tainted_flows_count,A_sink_locations_count,A_has_tainted_sink,A_cyclomatic_complexity,A_max_nesting_depth,A_lines_of_code,A_complexity_per_line,B_avg_string_entropy,B_max_string_entropy,B_high_entropy_count,B_base64_count,B_hex_string_count,B_unicode_escape_count,B_encoded_payload_count,B_staged_execution_count,B_dynamic_import_count,B_runtime_code_gen_count,B_time_check_count,B_trigger_condition_count,B_obfuscation_method_count,B_has_identifier_obfuscation,B_anti_debug_count,B_anti_vm_count,B_env_check_count,B_total_obfuscation_score,B_total_evasion_score,B_total_logic_bomb_score,C_total_api_calls,C_unique_api_calls,C_max_call_depth,C_api_sequence_score,C_suspicious_sequence_count,C_has_suspicious_sequence,C_control_flow_complexity,C_max_nesting_depth,C_file_and_network,C_crypto_and_network,C_persistence_behavior,C_data_exfil_behavior,identifier,source,package_name,label
3,2,True,True,False,0,30,0,10,0.0,21,0,2,0,True,0,0,False,0,0,False,12,1,109,0.11009174311926606,3.6644968391915818,5.554705639325547,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,30,10,2,120.0,12,1,11,2,0,0,1,0,aptx-0.2_setup.py,malicious,aptx-0.2,1
0,0,False,False,False,1,1,0,1,0.3333333333333333,0,0,0,0,False,0,0,False,0,0,False,1,0,3,0.3333333333333333,3.180832987205441,3.180832987205441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0,0,0,0,0,0,0,0,artifact-lab-3-package-b6920ef4-0.1.1_flag.py,malicious,artifact-lab-3-package-b6920ef4-0.1.1,1
7,1,True,False,False,3,12,0,10,0.06818181818181818,0,1,2,0,False,0,0,False,0,0,False,1,0,44,0.022727272727272728,3.946816820747145,4.8201620737022965,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,12,11,2,0.0,0,0,0,0,1,0,0,0,artifact-lab-3-package-b6920ef4-0.1.1_setup.py,malicious,artifact-lab-3-package-b6920ef4-0.1.1,1
0,0,False,False,False,1,1,0,1,0.3333333333333333,0,0,0,0,False,0,0,False,0,0,False,1,0,3,0.3333333333333333,3.180832987205441,3.180832987205441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0,0,0,0,0,0,0,0,artifact-lab-3-package-e90915e1-0.1.3_flag.py,malicious,artifact-lab-3-package-e90915e1-0.1.3,1
6,1,True,False,False,4,11,0,9,0.09090909090909091,0,0,3,0,False,0,0,False,0,0,False,1,0,44,0.022727272727272728,3.9982246749211368,5.268884391699705,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,11,10,2,0.0,0,0,0,0,0,0,0,0,artifact-lab-3-package-e90915e1-0.1.3_setup.py,malicious,artifact-lab-3-package-e90915e1-0.1.3,1
3,3,True,True,True,1,11,0,7,0.034482758620689655,0,2,1,0,False,0,0,False,0,0,False,2,0,29,0.06896551724137931,3.1728334459018543,3.4992275471326932,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,7,2,0.0,0,0,1,1,0,0,0,0,artifact_lab_3_package_392c6acd-0.1.24_main.py,malicious,artifact,1
1,0,False,False,False,0,4,0,4,0.0,2,0,0,0,False,0,0,False,0,0,False,1,1,16,0.0625,3.677656630819504,3.80871969734407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0.0,0,0,0,1,0,0,0,0,artifact_lab_3_package_392c6acd-0.1.24_setup.py,malicious,artifact,1
1,0,False,False,False,0,0,0,0,0.0,0,0,0,0,False,0,0,False,0,0,False,1,0,3,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,artifact_lab_3_package_392c6acd-0.1.24___init__.py,malicious,artifact,1
0,0,False,False,False,0,0,0,0,0.0,0,0,0,0,False,0,0,False,0,0,False,0,0,0,0.0,3.7145050214749005,4.3702248778789405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,artifact_lab_3_package_7e532784-0.1.7_main.py,malicious,artifact,1
1,0,False,False,False,0,4,0,4,0.0,2,0,0,0,False,0,0,False,0,0,False,1,1,16,0.0625,3.7728200909790224,3.9990466176631063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0.0,0,0,0,1,0,0,0,0,artifact_lab_3_package_7e532784-0.1.7_setup.py,malicious,artifact,1
1,0,False,False,False,0,0,0,0,0.0,0,0,0,0,False,0,0,False,0,0,False,1,0,3,0.3333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,artifact_lab_3_package_7e532784-0.1.7___init__.py,malicious,artifact,1
6,2,True,False,True,1,6,0,6,0.04,0,1,1,0,False,0,0,False,0,0,False,1,0,25,0.04,3.4470594202769744,3.6424896731661263,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,6,1,0.0,0,0,0,0,0,0,0,0,asptcer-1.0.0_setup.py,malicious,asptcer-1.0.0,1
10,2,True,True,False,4,48,0,29,0.038461538461538464,4,2,2,0,True,0,0,False,0,0,False,6,2,104,0.057692307692307696,3.130346660393271,3.964135513017709,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,2,0,0,48,31,3,20.0,2,1,5,2,1,1,1,0,auto_scrubber-0.1_setup.py,malicious,auto,1
0,0,False,False,False,1,0,0,0,0.2,0,0,0,0,False,0,0,False,0,0,False,1,0,5,0.2,3.180832987205441,3.180832987205441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,builderknower-0.1.12_module.py,malicious,builderknower-0.1.12,1
5,1,True,False,False,1,10,0,5,0.0136986301369863,0,0,4,0,False,0,0,False,0,0,False,4,0,73,0.0547945205479452,3.873047895930295,4.755976365300631,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,5,2,0.0,0,0,3,1,0,0,0,0,builderknower-0.1.12_setup.py,malicious,builderknower-0.1.12,1
0,0,False,False,False,1,0,0,0,0.2,0,0,0,0,False,0,0,False,0,0,False,1,0,5,0.2,3.180832987205441,3.180832987205441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,builderknower2-0.1.30_module.py,malicious,builderknower2-0.1.30,1
5,1,True,False,False,1,20,0,7,0.010526315789473684,0,2,9,0,True,0,0,False,0,0,False,5,0,95,0.05263157894736842,3.7443610240308236,5.340075896029794,6,4,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,1,20,7,2,0.0,0,0,4,1,0,0,0,0,builderknower2-0.1.30_setup.py,malicious,builderknower2-0.1.30,1
