identifier,A_total_imports,A_dangerous_imports_count,A_has_os_import,A_has_subprocess_import,A_has_socket_import,A_functions_defined,A_functions_called_count,A_dangerous_calls_count,A_unique_functions,A_function_density,A_file_operations_count,A_network_operations_count,A_process_spawning_count,A_code_execution_count,A_has_api_abuse,A_dynamic_types_count,A_type_confusion_risk,A_has_dynamic_operations,A_tainted_flows_count,A_sink_locations_count,A_has_tainted_sink,A_cyclomatic_complexity,A_max_nesting_depth,A_lines_of_code,A_complexity_per_line,B_avg_string_entropy,B_max_string_entropy,B_high_entropy_count,B_base64_count,B_hex_string_count,B_unicode_escape_count,B_encoded_payload_count,B_staged_execution_count,B_dynamic_import_count,B_runtime_code_gen_count,B_time_check_count,B_trigger_condition_count,B_obfuscation_method_count,B_has_identifier_obfuscation,B_anti_debug_count,B_anti_vm_count,B_env_check_count,B_total_obfuscation_score,B_total_evasion_score,B_total_logic_bomb_score,C_total_api_calls,C_unique_api_calls,C_max_call_depth,C_api_sequence_score,C_suspicious_sequence_count,C_has_suspicious_sequence,C_control_flow_complexity,C_max_nesting_depth,C_matched_signature_count,C_max_signature_confidence,C_file_and_network,C_crypto_and_network,C_persistence_behavior,C_data_exfil_behavior,C_total_behavioral_risk,label,source,package_name
aiohttp,133,4,True,False,True,232,831,3,298,0.04313871327631089,7,29,0,3,True,32,0,True,0,0,False,443,5,5378,0.0823726292301971,3.604431135752387,5.194729486133922,4,0,0,0,0,1,0,3,0,2,22,1,0,0,1,23,1,2,830,421,5,30.0,3,1,442,6,2,0.8,1,1,1,1,110,0,benign,aiohttp
alabaster,4,1,True,False,False,3,12,0,9,0.017341040462427744,0,1,0,0,False,1,0,True,0,0,False,3,2,173,0.017341040462427744,3.3554857224180386,4.4950228077023855,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,12,9,3,0.0,0,0,2,2,0,0.0,0,0,0,0,0,0,benign,alabaster
annotated-types,36,0,False,False,False,39,254,0,51,0.0493046776232617,0,0,0,0,False,25,0,True,0,0,False,33,4,791,0.041719342604298354,3.5709423729242324,4.294472789205118,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,254,62,4,0.0,0,0,32,4,0,0.0,0,0,0,0,0,0,benign,annotated-types
anyio,208,8,True,True,True,113,387,2,188,0.04366306027820711,7,12,4,2,True,22,1,True,0,0,False,153,5,2588,0.05911901081916538,3.603060903739967,4.389028762371006,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,2,0,384,242,3,10.0,1,1,152,7,0,0.0,1,0,1,1,50,0,benign,anyio
asgiref,54,1,True,False,False,61,291,0,133,0.03290183387270766,2,19,2,0,True,15,0,True,0,0,False,135,5,1854,0.07281553398058252,3.5378606947973226,4.66210051467677,2,0,0,0,0,1,0,0,1,1,9,1,0,0,1,10,1,2,290,173,3,200.0,20,1,134,5,0,0.0,1,0,1,1,240,0,benign,asgiref
asttokens,47,0,False,False,False,92,296,1,108,0.05778894472361809,0,4,0,1,False,45,0,True,0,0,False,117,5,1592,0.07349246231155779,3.4204616533673358,4.297699962736025,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,292,128,4,0.0,0,0,116,5,0,0.0,0,0,0,0,0,0,benign,asttokens
attrs,32,1,True,False,False,91,225,1,96,0.049429657794676805,0,3,0,1,False,19,0,True,0,0,False,87,2,1841,0.047256925583921784,3.6495147803899477,4.581027778277359,2,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,225,100,4,0.0,0,0,86,2,0,0.0,0,0,0,0,0,0,benign,attrs
autopep8,0,0,False,False,False,0,0,0,0,0.0,0,0,0,0,False,0,0,False,0,0,False,0,0,0,0.0,3.2190647417906217,5.1699250014423095,11,0,0,0,0,1,0,0,0,3,0,0,0,0,1,1,1,3,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,benign,autopep8
azure-identity,31,1,True,False,False,20,44,1,32,0.03241491085899514,0,1,0,1,False,0,0,False,0,0,False,10,2,617,0.01620745542949757,3.4573585245670544,4.83808948937662,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,44,32,2,0.0,0,0,9,3,2,0.6000000000000001,0,0,0,0,40,0,benign,azure-identity
azure-storage-blob,130,1,True,False,False,153,1073,2,212,0.01972412014954235,4,41,0,2,True,37,0,True,0,0,False,326,5,7757,0.042026556658501996,3.4535228197941428,4.677200488183559,4,0,0,0,0,0,2,0,0,1,6,1,0,0,0,6,0,1,1073,257,3,0.0,0,0,325,5,2,0.7,1,1,0,1,80,0,benign,azure-storage-blob
